2023-12-13 23:55:51.778 [main] INFO  com.jbp.front.JbpFrontApplication - Starting JbpFrontApplication on DESKTOP-N1KDDDI with PID 22800 (E:\work\workspace\jbp\jbp-front\target\classes started by Think in E:\work\workspace\jbp\jbp-front)
2023-12-13 23:55:51.779 [main] INFO  com.jbp.front.JbpFrontApplication - No active profile set, falling back to default profiles: default
2023-12-13 23:55:53.270 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Multiple Spring Data modules found, entering strict repository configuration mode!
2023-12-13 23:55:53.272 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Bootstrapping Spring Data Redis repositories in DEFAULT mode.
2023-12-13 23:55:53.293 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 8ms. Found 0 Redis repository interfaces.
2023-12-13 23:55:54.948 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8081 (http)
2023-12-13 23:55:54.960 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8081"]
2023-12-13 23:55:54.961 [main] INFO  org.apache.catalina.core.StandardService - Starting service [Tomcat]
2023-12-13 23:55:54.961 [main] INFO  org.apache.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.33]
2023-12-13 23:55:55.241 [main] INFO  org.apache.jasper.servlet.TldScanner - At least one JAR was scanned for TLDs yet contained no TLDs. Enable debug logging for this logger for a complete list of JARs that were scanned but no TLDs were found in them. Skipping unneeded JARs during scanning can improve startup time and JSP compilation time.
2023-12-13 23:55:55.245 [main] INFO  o.a.c.c.C.[Tomcat].[localhost].[/front] - Initializing Spring embedded WebApplicationContext
2023-12-13 23:55:55.246 [main] INFO  org.springframework.web.context.ContextLoader - Root WebApplicationContext: initialization completed in 3411 ms
2023-12-13 23:56:03.277 [main] INFO  org.redisson.Version - Redisson 3.14.1
2023-12-13 23:56:04.255 [main] INFO  com.alibaba.druid.pool.DruidDataSource - {dataSource-0} closing ...
2023-12-13 23:56:04.260 [main] INFO  org.apache.catalina.core.StandardService - Stopping service [Tomcat]
2023-12-13 23:56:58.633 [main] INFO  com.jbp.front.JbpFrontApplication - Starting JbpFrontApplication on DESKTOP-N1KDDDI with PID 23344 (E:\work\workspace\jbp\jbp-front\target\classes started by Think in E:\work\workspace\jbp\jbp-front)
2023-12-13 23:56:58.634 [main] INFO  com.jbp.front.JbpFrontApplication - No active profile set, falling back to default profiles: default
2023-12-13 23:57:00.232 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Multiple Spring Data modules found, entering strict repository configuration mode!
2023-12-13 23:57:00.234 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Bootstrapping Spring Data Redis repositories in DEFAULT mode.
2023-12-13 23:57:00.256 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 8ms. Found 0 Redis repository interfaces.
2023-12-13 23:57:01.988 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8081 (http)
2023-12-13 23:57:02.002 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8081"]
2023-12-13 23:57:02.003 [main] INFO  org.apache.catalina.core.StandardService - Starting service [Tomcat]
2023-12-13 23:57:02.003 [main] INFO  org.apache.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.33]
2023-12-13 23:57:02.351 [main] INFO  org.apache.jasper.servlet.TldScanner - At least one JAR was scanned for TLDs yet contained no TLDs. Enable debug logging for this logger for a complete list of JARs that were scanned but no TLDs were found in them. Skipping unneeded JARs during scanning can improve startup time and JSP compilation time.
2023-12-13 23:57:02.355 [main] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2023-12-13 23:57:02.355 [main] INFO  org.springframework.web.context.ContextLoader - Root WebApplicationContext: initialization completed in 3665 ms
2023-12-13 23:57:09.921 [main] INFO  org.redisson.Version - Redisson 3.14.1
2023-12-13 23:57:10.963 [main] INFO  com.alibaba.druid.pool.DruidDataSource - {dataSource-0} closing ...
2023-12-13 23:57:10.967 [main] INFO  org.apache.catalina.core.StandardService - Stopping service [Tomcat]
2023-12-13 23:58:31.406 [main] INFO  com.jbp.front.JbpFrontApplication - Starting JbpFrontApplication on DESKTOP-N1KDDDI with PID 21724 (E:\work\workspace\jbp\jbp-front\target\classes started by Think in E:\work\workspace\jbp\jbp-front)
2023-12-13 23:58:31.408 [main] INFO  com.jbp.front.JbpFrontApplication - No active profile set, falling back to default profiles: default
2023-12-13 23:58:32.977 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Multiple Spring Data modules found, entering strict repository configuration mode!
2023-12-13 23:58:32.980 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Bootstrapping Spring Data Redis repositories in DEFAULT mode.
2023-12-13 23:58:33.001 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 9ms. Found 0 Redis repository interfaces.
2023-12-13 23:58:34.681 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8081 (http)
2023-12-13 23:58:34.692 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8081"]
2023-12-13 23:58:34.693 [main] INFO  org.apache.catalina.core.StandardService - Starting service [Tomcat]
2023-12-13 23:58:34.693 [main] INFO  org.apache.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.33]
2023-12-13 23:58:34.965 [main] INFO  org.apache.jasper.servlet.TldScanner - At least one JAR was scanned for TLDs yet contained no TLDs. Enable debug logging for this logger for a complete list of JARs that were scanned but no TLDs were found in them. Skipping unneeded JARs during scanning can improve startup time and JSP compilation time.
2023-12-13 23:58:34.970 [main] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2023-12-13 23:58:34.970 [main] INFO  org.springframework.web.context.ContextLoader - Root WebApplicationContext: initialization completed in 3504 ms
2023-12-13 23:58:43.076 [main] INFO  org.redisson.Version - Redisson 3.14.1
2023-12-13 23:58:44.121 [main] INFO  com.alibaba.druid.pool.DruidDataSource - {dataSource-0} closing ...
2023-12-13 23:58:44.124 [main] INFO  org.apache.catalina.core.StandardService - Stopping service [Tomcat]
